Kreisname;Anzahl Patienten mit mindestens einer Vorerkrankung;Prävalenz (Anteil mit mindestens einer Vorerkrankung in %);Prävalenz-Schätzwerte plausibles Intervall Untergrenze;Prävalenz-Schätzwerte plausibles Intervall Obergrenze
Passau, Landkreis;51,000;26.9;22.4;33.2
Peine;36,000;27.0;23.4;31.3
Pfaffenhofen an der Ilm;28,000;21.9;18.3;26.5
Pforzheim;32,000;25.5;21.6;29.5
Pinneberg;75,000;23.9;19.6;29.3
Pirmasens;13,000;31.3;25.5;37.1
Plön;32,000;25.1;20.4;30.4
Potsdam;37,000;20.7;16.2;24.7
Potsdam-Mittelmark;58,000;26.9;20.3;31.1
Prignitz;29,000;37.9;29.2;44.9
Rastatt;55,000;23.7;20.8;29.5
Ravensburg;57,000;20.1;16.4;27.3
Recklinghausen;193,000;31.4;25.2;36.1
Regen;22,000;29.0;24.5;32.9
Regensburg;27,000;18.0;15.4;24.2
Regensburg, Landkreis;45,000;23.2;20.1;28.6
Region Hannover;298,000;25.8;22.1;30.2
Regionalverband Saarbrücken;94,000;28.4;25.2;33.6
Remscheid;41,000;37.0;29.0;43.9
Rems-Murr-Kreis;105,000;24.7;21.4;30.9
Rendsburg-Eckernförde;67,000;24.4;20.8;29.0
Reutlingen;66,000;23.2;20.3;29.4
Rhein-Erft-Kreis;114,000;24.3;20.7;31.4
Rheingau-Taunus-Kreis;46,000;24.5;20.4;30.5
Rhein-Hunsrück-Kreis;30,000;29.2;24.1;35.3
Rheinisch-Bergischer Kreis;76,000;26.9;22.7;31.7
Rhein-Kreis Neuss;115,000;25.6;23.2;31.7
Rhein-Lahn-Kreis;35,000;28.4;22.4;34.5
Rhein-Neckar-Kreis;131,000;24.0;20.7;31.1
Rhein-Pfalz-Kreis;35,000;22.8;17.0;30.2
Rhein-Sieg-Kreis;147,000;24.6;19.6;30.6
Rhön-Grabfeld;24,000;30.0;25.2;35.0
Rosenheim;14,000;21.7;18.8;26.3
Rosenheim, Landkreis;57,000;21.7;18.6;27.4
Rostock;59,000;28.3;22.7;32.8
Rostock, Landkreis;68,000;31.6;26.1;41.3
Rotenburg (Wümme);45,000;27.4;22.1;32.3
Roth;31,000;24.1;19.1;30.8
Rottal-Inn;31,000;26.1;22.7;32.3
Rottweil;35,000;25.0;21.9;29.2
Saale-Holzland-Kreis;27,000;32.1;27.2;35.9
Saalekreis;62,000;33.3;29.7;38.0
Saale-Orla-Kreis;29,000;35.5;30.9;40.7
Saalfeld-Rudolstadt;43,000;40.3;35.6;45.0
Saarlouis;60,000;30.5;26.8;35.6
Saarpfalz-Kreis;41,000;28.4;22.3;35.9
Sächsische Schweiz-Osterzgebirge;85,000;34.8;31.7;39.2
Salzgitter;32,000;30.5;26.2;36.9
Salzlandkreis;70,000;36.8;31.5;44.2
Schaumburg;37,000;23.7;20.2;28.5
Schleswig-Flensburg;53,000;26.6;22.0;31.3
Schmalkalden-Meiningen;45,000;36.9;30.7;43.7
Schwabach;10,000;25.2;20.4;30.9
Schwäbisch Hall;48,000;24.8;21.7;29.5
Schwalm-Eder-Kreis;53,000;29.5;25.4;34.6
Schwandorf;42,000;28.3;24.1;33.4
Schwarzwald-Baar-Kreis;51,000;23.9;21.1;30.3
Schweinfurt;18,000;32.7;26.5;38.7
Schweinfurt, Landkreis;35,000;30.2;24.3;38.3
Schwerin;26,000;27.2;21.7;30.6
Segeberg;70,000;25.4;18.6;33.7
Siegen-Wittgenstein;81,000;29.2;25.5;33.4
Sigmaringen;30,000;23.0;20.3;29.0
Soest;89,000;29.6;24.8;35.7
Solingen;47,000;29.5;25.7;33.1
Sömmerda;24,000;33.7;29.8;39.3
Sonneberg;24,000;42.1;35.6;47.5
Speyer;12,000;24.5;19.6;30.0
Spree-Neiße;43,000;37.5;29.9;43.6
St, Wendel;28,000;32.5;27.4;37.7
Stade;53,000;26.2;22.2;31.1
Städteregion Aachen;143,000;25.8;22.3;30.1
Starnberg;29,000;21.3;16.3;28.2
Steinburg;39,000;29.5;23.6;37.6
Steinfurt;118,000;26.3;21.6;31.6
Stendal;36,000;32.2;27.0;39.2
Stormarn;56,000;22.9;17.2;28.2
Straubing;14,000;29.2;23.7;34.3
Straubing-Bogen;28,000;28.0;22.1;33.2
Stuttgart;125,000;19.7;16.9;25.4
Südliche Weinstraße;30,000;26.8;21.0;32.2
Südwestpfalz;29,000;30.0;24.8;39.4
Suhl;15,000;42.8;35.4;48.7
Teltow-Fläming;49,000;29.5;23.6;34.5
Tirschenreuth;22,000;31.0;28.1;35.7
Traunstein;42,000;23.9;19.8;29.1
Trier;27,000;24.8;19.4;32.1
Trier-Saarburg;39,000;26.4;20.2;35.1
Tübingen;43,000;19.1;16.5;24.6
Tuttlingen;34,000;24.0;20.4;29.0
Uckermark;45,000;37.1;28.9;42.3
Uelzen;30,000;32.1;25.8;38.7
Ulm;27,000;21.7;18.4;26.8
Unna;125,000;31.7;27.1;36.9
Unstrut-Hainich-Kreis;39,000;38.1;32.4;43.5
Unterallgäu;36,000;25.0;19.8;31.6
Vechta;33,000;23.5;20.8;27.2
Verden;37,000;27.2;23.3;32.6
Viersen;90,000;30.1;25.1;35.9
Vogelsbergkreis;35,000;33.0;27.7;38.9
Vogtlandkreis;86,000;37.8;33.4;42.6
Vorpommern-Greifswald;79,000;33.4;27.8;39.6
Vorpommern-Rügen;73,000;32.6;27.4;37.6
Vulkaneifel;21,000;34.8;29.9;39.5
Waldeck-Frankenberg;51,000;32.2;27.3;39.4
Waldshut;37,000;21.8;18.1;27.1
Warendorf;80,000;28.8;25.1;32.3
Wartburgkreis;45,000;36.4;31.0;41.9
Weiden in der Oberpfalz;12,000;28.6;24.0;33.7
Weilheim-Schongau;32,000;24.0;18.8;30.2
Weimar;20,000;31.4;26.8;37.3
Weimarer Land;29,000;35.0;30.1;40.3
Weißenburg-Gunzenhausen;25,000;27.0;22.0;32.9
Werra-Meißner-Kreis;33,000;32.3;26.9;38.1
Wesel;154,000;33.5;29.5;38.1
Wesermarsch;28,000;31.3;25.6;38.1
Westerwaldkreis;60,000;29.7;24.2;34.4
Wetteraukreis;80,000;26.3;22.7;30.5
Wiesbaden;63,000;22.7;19.5;26.1
Wilhelmshaven;23,000;30.8;25.9;36.3
Wittenberg;46,000;36.7;29.8;41.5
Wittmund;18,000;31.2;25.7;37.1
Wolfenbüttel;29,000;24.2;20.9;28.8
Wolfsburg;33,000;26.8;22.1;31.0
Worms;22,000;26.3;20.9;33.1
Wunsiedel im Fichtelgebirge;24,000;33.3;28.5;38.5
Wuppertal;100,000;28.2;24.3;33.0
Würzburg;28,000;22.4;18.5;26.7
Würzburg, Landkreis;40,000;24.5;20.1;30.5
Zollernalbkreis;50,000;26.5;22.2;32.1
Zweibrücken;10,000;28.5;23.5;34.8
Zwickau;119,000;37.4;33.1;41.4
